user_id,image_id,file_name,width,height,category,style,rating,season,occasion
user_1,000001,000001.jpg,468,624,sling dress,sling dress,5,summer,casual
user_1,000001,000001.jpg,468,624,vest,vest,5,summer,casual
user_2,000002,000002.jpg,468,624,sling dress,sling dress,5,summer,casual
user_2,000002,000002.jpg,468,624,vest,vest,5,summer,casual
user_3,000003,000003.jpg,468,628,short sleeve dress,short sleeve dress,5,summer,casual
user_4,000004,000004.jpg,468,632,short sleeve dress,short sleeve dress,5,summer,casual
user_5,000005,000005.jpg,468,624,short sleeve top,short sleeve top,5,summer,casual
user_6,000006,000006.jpg,468,624,vest dress,vest dress,5,summer,casual
user_7,000007,000007.jpg,468,624,vest dress,vest dress,5,summer,casual
user_8,000008,000008.jpg,225,400,vest dress,vest dress,5,summer,casual
user_9,000009,000009.jpg,468,624,vest dress,vest dress,5,summer,casual
user_10,000010,000010.jpg,468,624,short sleeve top,short sleeve top,5,summer,casual
user_10,000010,000010.jpg,468,624,short sleeve dress,short sleeve dress,5,summer,casual
user_11,000011,000011.jpg,468,624,short sleeve dress,short sleeve dress,5,summer,casual
user_12,000012,000012.jpg,468,830,short sleeve dress,short sleeve dress,5,summer,casual
user_13,000013,000013.jpg,468,830,short sleeve dress,short sleeve dress,5,summer,casual
user_14,000014,000014.jpg,468,832,short sleeve dress,short sleeve dress,5,summer,casual
user_15,000015,000015.jpg,468,351,short sleeve dress,short sleeve dress,5,summer,casual
user_15,000015,000015.jpg,468,351,trousers,trousers,5,summer,casual
user_16,000016,000016.jpg,468,832,short sleeve dress,short sleeve dress,5,summer,casual
user_17,000017,000017.jpg,468,830,short sleeve dress,short sleeve dress,5,summer,casual
user_18,000018,000018.jpg,468,351,long sleeve top,long sleeve top,5,summer,casual
user_19,000019,000019.jpg,468,624,long sleeve top,long sleeve top,5,summer,casual
user_20,000020,000020.jpg,468,830,trousers,trousers,5,summer,casual
user_20,000020,000020.jpg,468,830,long sleeve top,long sleeve top,5,summer,casual
user_21,000021,000021.jpg,468,624,long sleeve top,long sleeve top,5,summer,casual
user_22,000022,000022.jpg,468,624,short sleeve top,short sleeve top,5,summer,casual
user_23,000023,000023.jpg,468,831,short sleeve top,short sleeve top,5,summer,casual
user_24,000024,000024.jpg,468,624,shorts,shorts,5,summer,casual
user_24,000024,000024.jpg,468,624,short sleeve top,short sleeve top,5,summer,casual
user_25,000025,000025.jpg,400,400,short sleeve top,short sleeve top,5,summer,casual
user_26,000026,000026.jpg,300,400,short sleeve top,short sleeve top,5,summer,casual
user_27,000027,000027.jpg,624,468,skirt,skirt,5,summer,casual
user_28,000028,000028.jpg,468,351,skirt,skirt,5,summer,casual
user_29,000029,000029.jpg,832,468,skirt,skirt,5,summer,casual
user_30,000030,000030.jpg,468,625,trousers,trousers,5,summer,casual
user_30,000030,000030.jpg,468,625,long sleeve top,long sleeve top,5,summer,casual
user_31,000031,000031.jpg,468,625,skirt,skirt,5,summer,casual
user_32,000032,000032.jpg,468,351,trousers,trousers,5,summer,casual
user_33,000033,000033.jpg,468,624,long sleeve top,long sleeve top,5,summer,casual
user_34,000034,000034.jpg,468,832,long sleeve top,long sleeve top,5,summer,casual
user_35,000035,000035.jpg,468,624,trousers,trousers,5,summer,casual
user_35,000035,000035.jpg,468,624,long sleeve top,long sleeve top,5,summer,casual
user_36,000036,000036.jpg,468,832,trousers,trousers,5,summer,casual
user_36,000036,000036.jpg,468,832,long sleeve top,long sleeve top,5,summer,casual
user_37,000037,000037.jpg,468,624,long sleeve top,long sleeve top,5,summer,casual
user_38,000038,000038.jpg,468,631,long sleeve top,long sleeve top,5,summer,casual
user_39,000039,000039.jpg,468,832,long sleeve top,long sleeve top,5,summer,casual
user_40,000040,000040.jpg,468,832,long sleeve top,long sleeve top,5,summer,casual
user_41,000041,000041.jpg,468,624,long sleeve top,long sleeve top,5,summer,casual
user_42,000042,000042.jpg,468,262,skirt,skirt,5,summer,casual
user_43,000043,000043.jpg,468,624,skirt,skirt,5,summer,casual
user_44,000044,000044.jpg,468,262,skirt,skirt,5,summer,casual
user_45,000045,000045.jpg,468,624,skirt,skirt,5,summer,casual
user_45,000045,000045.jpg,468,624,short sleeve top,short sleeve top,5,summer,casual
user_46,000046,000046.jpg,468,624,skirt,skirt,5,summer,casual
user_47,000047,000047.jpg,346,468,skirt,skirt,5,summer,casual
user_48,000048,000048.jpg,349,468,skirt,skirt,5,summer,casual
user_49,000049,000049.jpg,468,624,skirt,skirt,5,summer,casual
user_49,000049,000049.jpg,468,624,short sleeve top,short sleeve top,5,summer,casual
user_50,000050,000050.jpg,468,624,skirt,skirt,5,summer,casual
user_50,000050,000050.jpg,468,624,short sleeve top,short sleeve top,5,summer,casual
user_51,000051,000051.jpg,468,624,skirt,skirt,5,summer,casual
user_51,000051,000051.jpg,468,624,short sleeve top,short sleeve top,5,summer,casual
user_52,000052,000052.jpg,468,263,skirt,skirt,5,summer,casual
user_52,000052,000052.jpg,468,263,short sleeve top,short sleeve top,5,summer,casual
user_53,000053,000053.jpg,468,831,skirt,skirt,5,summer,casual
user_53,000053,000053.jpg,468,831,short sleeve top,short sleeve top,5,summer,casual
user_54,000054,000054.jpg,468,624,skirt,skirt,5,summer,casual
user_55,000055,000055.jpg,468,702,skirt,skirt,5,summer,casual
user_55,000055,000055.jpg,468,702,short sleeve top,short sleeve top,5,summer,casual
user_56,000056,000056.jpg,468,469,skirt,skirt,5,summer,casual
user_57,000057,000057.jpg,351,468,skirt,skirt,5,summer,casual
user_58,000058,000058.jpg,468,624,skirt,skirt,5,summer,casual
user_59,000059,000059.jpg,468,624,skirt,skirt,5,summer,casual
user_59,000059,000059.jpg,468,624,short sleeve top,short sleeve top,5,summer,casual
user_60,000060,000060.jpg,468,624,skirt,skirt,5,summer,casual
user_60,000060,000060.jpg,468,624,short sleeve top,short sleeve top,5,summer,casual
user_61,000061,000061.jpg,468,624,skirt,skirt,5,summer,casual
user_62,000062,000062.jpg,624,468,long sleeve dress,long sleeve dress,5,summer,casual
user_63,000063,000063.jpg,468,624,long sleeve dress,long sleeve dress,5,summer,casual
user_64,000064,000064.jpg,468,624,long sleeve dress,long sleeve dress,5,summer,casual
user_65,000065,000065.jpg,300,400,long sleeve dress,long sleeve dress,5,summer,casual
user_66,000066,000066.jpg,468,830,trousers,trousers,5,summer,casual
user_66,000066,000066.jpg,468,830,long sleeve top,long sleeve top,5,summer,casual
user_67,000067,000067.jpg,468,631,trousers,trousers,5,summer,casual
user_67,000067,000067.jpg,468,631,long sleeve top,long sleeve top,5,summer,casual
user_68,000068,000068.jpg,468,624,trousers,trousers,5,summer,casual
user_68,000068,000068.jpg,468,624,long sleeve top,long sleeve top,5,summer,casual
user_69,000069,000069.jpg,468,624,skirt,skirt,5,summer,casual
user_69,000069,000069.jpg,468,624,short sleeve top,short sleeve top,5,summer,casual
user_70,000070,000070.jpg,468,624,trousers,trousers,5,summer,casual
user_70,000070,000070.jpg,468,624,short sleeve top,short sleeve top,5,summer,casual
user_71,000071,000071.jpg,468,624,skirt,skirt,5,summer,casual
user_71,000071,000071.jpg,468,624,short sleeve top,short sleeve top,5,summer,casual
user_72,000072,000072.jpg,468,624,trousers,trousers,5,summer,casual
user_72,000072,000072.jpg,468,624,short sleeve top,short sleeve top,5,summer,casual
user_73,000073,000073.jpg,468,624,skirt,skirt,5,summer,casual
user_73,000073,000073.jpg,468,624,short sleeve top,short sleeve top,5,summer,casual
user_74,000074,000074.jpg,468,832,skirt,skirt,5,summer,casual
user_74,000074,000074.jpg,468,832,short sleeve top,short sleeve top,5,summer,casual
user_75,000075,000075.jpg,468,624,trousers,trousers,5,summer,casual
